feature,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue
hour,0.386919,0.0,0.388694,0.0
block,0.386689,0.0,0.38773,0.0
year,0.354379,0.0,0.353183,0.0
is_weekend,-0.154944,0.0,-0.159852,0.0
day_of_week,-0.129996,0.0,-0.13586,0.0
month,0.096489,0.0,0.087132,3.552219061435453e-289
quarter,0.095998,0.0,0.088312,4.9442335046357604e-297
day_of_year,0.093103,0.0,0.085558,7.34530692815437e-279
day,-0.017095,1.1017409725106307e-12,-0.015947,3.158648839332188e-11
minute,0.000771,0.7481045208713287,0.000643,0.7890995358876246
