block,count,mean,median,std,min,max
1,1806,1334.995757,1315.255,293.861617,634.29,2161.69
2,1806,1317.061428,1297.09,293.175429,616.01,2136.1
3,1806,1296.40216,1278.881131,290.051003,597.78,2101.69
4,1806,1274.448279,1254.94,285.168556,585.06,2062.98
5,1806,1250.337874,1232.265,279.045358,571.16,2023.72
6,1806,1226.92044,1209.75,272.348679,564.26,1986.61
7,1806,1204.803628,1186.930029,265.506187,555.97,1948.11
8,1806,1184.921363,1167.79,259.097653,548.92,1915.43
9,1806,1165.622576,1149.935,252.870851,544.81,1884.32
10,1806,1147.961425,1131.945,247.118236,539.03,1847.53
11,1806,1131.804568,1116.379123,241.703915,533.25,1815.39
12,1806,1117.221633,1102.708562,236.618066,529.24,1789.22
13,1806,1103.219663,1089.136498,231.357982,525.83,1768.21
14,1806,1090.403573,1076.439424,226.637976,524.56,1744.97
15,1806,1078.832335,1065.59,222.026899,520.56,1718.98
16,1806,1068.657765,1055.996668,217.508268,519.28,1696.84
17,1806,1061.054899,1048.525,212.83949,522.62,1678.27
18,1806,1055.766541,1043.3,208.487397,524.3,1661.18
19,1806,1052.652451,1041.75,204.320427,527.98,1649.35
20,1806,1051.207938,1042.0,200.507491,532.61,1635.33
21,1806,1054.516018,1046.52,195.692761,544.79,1617.1
22,1806,1058.934215,1051.54,190.831288,554.03,1601.88
23,1806,1065.770148,1060.405,185.659902,567.73,1585.81
24,1806,1074.259336,1071.956626,179.460393,581.02,1563.05
25,1805,1088.990031,1087.47,172.264759,601.38,1539.84
26,1805,1095.841729,1093.348766,165.424912,616.79,1523.53
27,1805,1098.391048,1096.91,159.915532,630.21,1509.06
28,1805,1104.844291,1104.61,157.266754,641.49,1510.93
29,1805,1123.272358,1124.02,156.515749,662.65,1519.23
30,1805,1147.797189,1147.72,155.44946,685.54,1540.31
31,1805,1172.340708,1174.28,155.272007,714.86,1563.88
32,1805,1197.773645,1200.51,156.687188,744.21,1594.48
33,1805,1231.931375,1232.304454,159.600065,774.86,1633.07
34,1805,1269.055442,1269.34,163.245069,808.51,1670.67
35,1805,1303.056616,1301.67,167.204202,833.6,1705.57
36,1805,1335.327953,1330.93,171.26822,856.38,1735.18
37,1805,1371.104504,1365.5,176.554026,881.07,1779.83
38,1805,1411.775416,1406.306771,181.895852,914.13,1829.11
39,1805,1443.591824,1440.46,186.481651,932.51,1872.85
40,1805,1470.703759,1468.26848,191.324348,938.86,1902.39
41,1805,1497.657147,1495.11,196.834019,916.78,1942.53
42,1805,1524.090708,1522.27,201.929566,946.32,1980.05
43,1805,1543.593645,1543.07,205.909517,949.42,2007.61
44,1805,1557.249222,1556.0,209.052424,951.3,2036.26
45,1805,1566.206347,1565.86,211.544278,948.96,2059.33
46,1805,1571.529762,1570.095911,213.25761,948.8,2079.51
47,1805,1572.408877,1571.47,214.348898,945.64,2082.87
48,1805,1570.370829,1567.93,214.798701,940.89,2090.6
49,1805,1568.294671,1564.31,214.898631,933.17,2104.92
50,1805,1562.168271,1555.2,214.850175,926.77,2107.82
51,1805,1550.138696,1541.82,214.218844,922.89,2105.58
52,1805,1539.371875,1530.17,214.87757,912.86,2106.7
53,1805,1505.309383,1493.75,213.686258,888.93,2088.54
54,1805,1493.55577,1483.75,215.760228,868.17,2092.98
55,1805,1490.124642,1479.93,219.435925,849.88,2108.96
56,1805,1492.970894,1481.246809,224.099451,836.08,2133.36
57,1805,1504.644489,1490.96,231.079449,828.21,2170.01
58,1805,1514.049096,1500.69,238.337708,821.35,2209.52
59,1805,1521.270513,1506.610703,245.727744,810.38,2241.56
60,1805,1523.729929,1509.8,250.744694,797.02,2259.73
61,1805,1525.334188,1511.47,253.846344,789.52,2268.14
62,1805,1522.904089,1511.39,255.808926,781.65,2266.14
63,1805,1517.789169,1507.16,256.107895,774.1,2255.32
64,1805,1508.941822,1498.04,254.746959,766.16,2239.8
65,1805,1502.032352,1492.89,251.813604,768.49,2221.76
66,1805,1491.822598,1484.24,248.556335,765.64,2189.94
67,1805,1483.207711,1477.47,244.657983,768.03,2169.11
68,1805,1473.113068,1468.76,240.453152,771.24,2138.57
69,1805,1465.24989,1463.984417,235.020551,780.84,2100.71
70,1805,1456.368193,1455.51,229.762104,790.59,2065.34
71,1805,1448.313413,1447.55,223.475682,799.61,2023.86
72,1805,1443.104608,1447.03,215.891485,811.26,1980.92
73,1805,1444.317275,1454.880969,207.642146,835.69,1940.25
74,1805,1452.871487,1465.02,202.528318,867.47,1937.143605
75,1805,1463.674413,1475.64,197.336735,904.28,1952.942132
76,1805,1472.762786,1481.9,193.247065,929.12,1956.852749
77,1805,1477.558372,1482.78,190.591462,934.74,1950.616415
78,1805,1479.488875,1478.052989,190.405921,936.18,1938.616262
79,1805,1477.143313,1471.46,190.211555,932.93,1933.33
80,1805,1469.302284,1460.56,190.283478,930.38,1942.32
81,1805,1455.498043,1444.150493,189.746322,929.38,1944.08
82,1805,1445.425706,1434.01,190.709493,922.8,1949.37
83,1805,1436.322625,1423.12,192.662358,915.16,1958.32
84,1805,1426.347115,1412.49,195.163408,906.01,1966.6
85,1805,1409.483421,1393.24,197.564388,893.71,1963.5
86,1805,1398.838681,1383.1,201.288784,883.96,1975.21
87,1805,1389.924484,1374.48,206.658919,868.16,1985.94
88,1805,1382.831633,1367.98,213.789081,847.5,2006.97
89,1805,1372.49355,1358.896433,222.660082,822.01,2024.77
90,1805,1369.320131,1355.63,233.563199,801.05,2053.6
91,1805,1369.98446,1355.974662,245.507452,777.29,2085.22
92,1805,1371.848767,1359.16,257.737608,748.9,2121.1
93,1805,1368.633122,1354.04,268.848782,724.45,2150.19
94,1805,1366.853029,1352.870032,278.637279,701.35,2166.46
95,1805,1362.251413,1346.93,286.68316,679.27,2176.32
96,1805,1353.517558,1335.33,291.995308,655.95,2176.1
