hour,count,mean,median,std,min,max
0,7224,1319.029951,1300.46,290.4904,597.78,2176.1
1,7224,1231.662478,1212.28,272.955024,555.97,2062.98
2,7224,1151.869554,1134.205,247.970451,533.25,1915.43
3,7224,1093.383969,1078.48,227.338457,520.56,1789.22
4,7224,1058.071039,1046.732835,209.46331,519.28,1696.84
5,7224,1059.751027,1052.6,192.902367,532.61,1635.33
6,7220,1092.604671,1092.36,170.123901,581.02,1563.05
7,7220,1144.677658,1143.825066,163.420805,641.49,1563.88
8,7220,1260.840449,1260.640248,174.230123,744.21,1719.77
9,7220,1401.010726,1398.366469,190.890596,856.38,1872.85
10,7220,1516.306195,1514.904538,205.503379,916.78,2007.61
11,7220,1568.149155,1567.72,212.83368,945.64,2082.87
12,7220,1560.114488,1555.36,213.337869,922.89,2107.82
13,7220,1503.416805,1493.265259,215.08183,849.88,2108.96
14,7220,1510.612277,1495.437991,237.613838,810.38,2241.56
15,7220,1521.227201,1508.662186,253.849509,774.1,2268.14
16,7220,1493.760486,1485.6,248.267406,765.64,2239.8
17,7220,1459.050829,1457.56,230.089398,771.24,2138.57
18,7220,1453.83081,1464.12,206.687749,811.26,1980.92
19,7220,1475.904444,1477.31,190.665397,929.12,1950.616415
20,7220,1448.057997,1438.16,189.377973,915.16,1958.32
21,7220,1402.536427,1387.2,199.732871,868.16,1985.94
22,7220,1372.707658,1357.047924,231.2774,777.29,2085.22
23,7220,1365.693344,1349.77,274.434735,679.27,2176.32
