month,count,mean,median,std,min,max
1,14880,1072.839807,1081.77913,238.54086,519.28,1644.534265
2,13536,1158.927675,1170.145,239.457667,621.65,1784.73
3,14880,1356.276498,1368.355,216.68464,806.13,1915.67
4,14400,1523.321063,1511.705,243.813932,979.08,2137.91
5,14880,1549.242727,1560.82,245.169809,879.32,2268.14
6,14400,1501.699794,1503.865,274.356023,805.76,2247.57
7,14880,1344.598988,1351.155,230.394219,836.16,1924.097482
8,14880,1351.865668,1358.651877,231.840471,792.48,1907.136646
9,14400,1361.613757,1373.55,231.826243,795.22,1894.853608
10,14880,1463.313699,1470.189516,251.650103,904.6,2038.84
11,14400,1325.327542,1341.225668,221.240791,778.93,1820.01
12,12888,1193.72265,1205.66608,233.69198,654.54,1839.751804
