,block,hour,minute,day,month,year,day_of_week,day_of_year,quarter,is_weekend,demand
block,1.0,0.95728,0.0065,9.5e-05,-0.000292,-0.000259,0.0,-0.000282,-0.000244,0.000114,0.386689
hour,0.95728,1.0,0.0,9.5e-05,-0.000292,-0.000259,-0.0,-0.000283,-0.000244,0.000114,0.386919
minute,0.0065,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.000771
day,9.5e-05,9.5e-05,0.0,1.0,-0.000398,-0.009532,0.004056,0.0838,0.003172,0.002844,-0.017095
month,-0.000292,-0.000292,0.0,-0.000398,1.0,-0.027021,0.000729,0.996424,0.971046,-0.000958,0.096489
year,-0.000259,-0.000259,0.0,-0.009532,-0.027021,1.0,-0.002167,-0.026561,-0.022715,-0.001242,0.354379
day_of_week,0.0,-0.0,-0.0,0.004056,0.000729,-0.002167,1.0,0.001072,0.001245,0.790635,-0.129996
day_of_year,-0.000282,-0.000283,0.0,0.0838,0.996424,-0.026561,0.001072,1.0,0.967948,-0.00071,0.093103
quarter,-0.000244,-0.000244,0.0,0.003172,0.971046,-0.022715,0.001245,0.967948,1.0,0.000356,0.095998
is_weekend,0.000114,0.000114,-0.0,0.002844,-0.000958,-0.001242,0.790635,-0.00071,0.000356,1.0,-0.154944
demand,0.386689,0.386919,0.000771,-0.017095,0.096489,0.354379,-0.129996,0.093103,0.095998,-0.154944,1.0
