hour,count,mean,std,min,max
0,7224,1319.03,290.4904,597.78,2176.1
1,7224,1231.6625,272.955,555.97,2062.98
2,7224,1151.8696,247.9705,533.25,1915.43
3,7224,1093.384,227.3385,520.56,1789.22
4,7224,1058.071,209.4633,519.28,1696.84
5,7224,1059.751,192.9024,532.61,1635.33
6,7220,1092.6047,170.1239,581.02,1563.05
7,7220,1144.6777,163.4208,641.49,1563.88
8,7220,1260.8404,174.2301,744.21,1719.77
9,7220,1401.0107,190.8906,856.38,1872.85
10,7220,1516.3062,205.5034,916.78,2007.61
11,7220,1568.1492,212.8337,945.64,2082.87
12,7220,1560.1145,213.3379,922.89,2107.82
13,7220,1503.4168,215.0818,849.88,2108.96
14,7220,1510.6123,237.6138,810.38,2241.56
15,7220,1521.2272,253.8495,774.1,2268.14
16,7220,1493.7605,248.2674,765.64,2239.8
17,7220,1459.0508,230.0894,771.24,2138.57
18,7220,1453.8308,206.6877,811.26,1980.92
19,7220,1475.9044,190.6654,929.12,1950.6164
20,7220,1448.058,189.378,915.16,1958.32
21,7220,1402.5364,199.7329,868.16,1985.94
22,7220,1372.7077,231.2774,777.29,2085.22
23,7220,1365.6933,274.4347,679.27,2176.32
