feature,importance_mean,importance_std
lag_15min,257.588844,1.237383
lag_30min,20.480173,0.095106
block,6.910375,0.045273
rolling_mean_1hour,4.490845,0.030573
lag_1hour,3.261494,0.026697
lag_2hour,2.836733,0.022064
hour,2.389426,0.031517
day_of_year,0.630812,0.014029
rolling_mean_1day,0.342357,0.008841
day_of_week,0.334227,0.020343
lag_1day,0.321351,0.016601
lag_12hour,0.205541,0.01401
rolling_std_1day,0.145309,0.015688
lag_6hour,0.141047,0.005283
lag_1week,0.08937,0.011029
rolling_mean_6hour,0.066362,0.005288
minute,0.02229,0.00295
day,0.008644,0.001945
month,0.006657,0.002735
year,0.0,0.0
quarter,0.0,0.0
is_weekend,0.0,0.0
