datetime,actual_demand,base_model_prediction,lag_model_prediction,lag_model_absolute_error
2025-05-22 00:00:00,1594.189802,1940.770411,1735.171441,140.981639
2025-05-06 21:45:00,1508.150000,1713.421115,1639.544854,131.394854
2025-12-04 19:30:00,1418.109799,1608.090079,1533.289143,115.179344
2025-05-06 21:30:00,1631.540000,1713.421115,1743.216276,111.676276
2025-06-05 18:00:00,1697.830000,1941.210523,1612.916741,84.913259
2025-10-16 17:15:00,1882.913031,1837.197041,1801.796660,81.116371
2025-11-01 11:30:00,1735.687814,1543.959342,1655.545031,80.142783
2025-03-31 00:00:00,1679.180000,1459.277380,1600.451938,78.728062
2025-04-22 16:45:00,2011.170000,1850.255475,2089.336572,78.166572
2025-03-27 19:45:00,1580.070000,1601.520908,1652.860682,72.790682
2025-04-30 21:00:00,1779.410000,1800.241307,1849.020228,69.610228
2025-10-09 16:30:00,1743.155522,1798.767614,1673.556383,69.599139
2025-04-17 23:15:00,1771.260000,1861.110376,1840.596075,69.336075
2025-10-16 17:45:00,1816.061343,1816.810206,1884.894464,68.833121
2025-10-09 16:15:00,1682.750299,1816.920841,1751.516028,68.765729
2025-05-22 00:15:00,1533.661570,1932.879532,1602.332715,68.671145
2025-06-13 00:30:00,1784.620000,1708.010551,1851.884593,67.264593
2025-05-21 23:45:00,1764.410671,2003.915010,1829.196612,64.785941
2025-03-12 16:00:00,1886.750000,1541.098757,1822.136218,64.613782
2025-06-14 00:00:00,1835.610000,1755.963380,1897.269799,61.659799
2025-03-01 12:00:00,1722.160000,1556.047510,1661.477197,60.682803
2025-11-22 08:30:00,1246.095852,1206.131761,1185.597743,60.498109
2025-07-25 13:30:00,1531.990000,1573.062232,1591.765794,59.775794
2025-04-12 00:00:00,1825.780000,1626.786478,1885.266354,59.486354
2025-05-02 14:00:00,1906.950000,1786.796350,1966.389627,59.439627
2025-06-13 00:15:00,1877.460000,1725.689694,1934.598417,57.138417
2025-06-03 17:00:00,1797.190000,2044.268867,1854.150526,56.960526
2025-04-30 19:45:00,1889.950000,1813.480342,1833.688633,56.261367
2025-04-17 18:45:00,1783.820000,1770.750408,1727.660707,56.159293
2025-04-22 16:30:00,2032.210000,1860.300514,2088.117440,55.907440
2025-06-22 00:00:00,1615.990000,1662.138202,1671.466739,55.476739
2025-10-31 00:00:00,1408.040153,1650.124411,1462.880252,54.840099
2025-05-28 14:45:00,1674.200000,2069.650504,1728.068269,53.868269
2025-05-20 20:15:00,1630.528782,1889.596185,1683.345979,52.817197
2025-10-16 17:00:00,1824.421837,1844.059515,1876.732812,52.310975
2025-04-09 16:45:00,2003.400000,1771.061160,2055.431491,52.031491
2025-04-18 23:15:00,1825.680000,1872.651028,1774.207184,51.472816
2025-04-17 01:30:00,1666.920000,1634.954988,1718.023968,51.103968
2025-04-01 18:00:00,1693.950000,1568.713438,1642.903958,51.046042
2025-02-19 00:00:00,1264.798155,1091.543720,1214.905326,49.892829
2025-05-07 00:00:00,1515.310000,1775.627856,1564.944009,49.634009
2025-06-11 23:45:00,2010.290000,1752.393008,1960.801975,49.488025
2025-04-07 17:15:00,1844.510000,1674.013542,1893.676399,49.166399
2025-05-13 18:45:00,1784.000000,1692.280306,1734.845532,49.154468
2025-06-23 00:00:00,1664.550000,1647.118076,1615.430784,49.119216
2025-10-09 15:15:00,1725.790022,1843.629421,1774.852059,49.062037
2025-02-28 15:15:00,1783.530000,1494.937520,1734.504678,49.025322
2025-05-20 20:00:00,1685.902092,1892.798376,1734.830636,48.928544
2025-05-12 00:00:00,1751.040000,1786.191398,1702.714165,48.325835
2025-04-27 20:15:00,1596.260000,1566.142686,1548.062723,48.197277
2025-04-07 18:00:00,1807.310000,1623.561907,1759.557771,47.752229
2025-08-05 15:00:00,1796.490000,1632.338418,1748.853740,47.636260
2025-04-18 23:00:00,1758.820000,1873.870511,1806.094097,47.274097
2025-06-13 00:00:00,1954.580000,1744.713709,2001.691955,47.111955
2025-04-04 12:30:00,2025.890000,1723.276828,1978.839735,47.050265
2025-05-06 21:15:00,1734.780000,1709.780991,1781.826512,47.046512
2025-03-20 00:00:00,1551.890000,1345.837586,1598.879768,46.989768
2025-04-19 18:30:00,1716.030000,1725.509381,1669.568137,46.461863
2025-06-17 00:00:00,1442.360000,1763.399776,1488.600013,46.240013
2025-02-26 21:00:00,1484.440000,1269.559213,1530.654904,46.214904
2025-10-29 11:30:00,1776.311767,1847.850258,1822.197030,45.885263
2025-04-09 15:30:00,2133.570000,1805.879359,2087.828771,45.741229
2025-10-29 11:45:00,1819.830019,1847.850258,1774.493193,45.336826
2025-05-21 00:00:00,1576.944561,1940.165958,1622.014997,45.070436
2025-09-14 00:00:00,1308.070000,1423.859057,1352.851411,44.781411
2025-10-26 00:00:00,1567.420608,1619.085526,1611.982062,44.561454
2025-04-02 17:30:00,1797.900000,1630.599932,1753.411146,44.488854
2025-03-25 19:15:00,1748.320000,1500.669879,1703.831524,44.488476
2025-04-17 18:00:00,1750.480000,1778.460263,1794.577651,44.097651
2025-04-22 17:15:00,1953.600000,1784.393981,1997.174559,43.574559
2025-04-02 06:30:00,1354.500000,1213.455830,1311.007445,43.492555
2025-05-07 16:00:00,1628.460000,1866.897746,1671.361590,42.901590
2025-04-11 13:00:00,1929.840000,1736.623009,1972.703940,42.863940
2025-05-08 14:15:00,1577.380000,1860.353659,1620.041147,42.661147
2025-05-19 00:00:00,1850.570000,1890.725259,1807.962426,42.607574
2025-05-19 23:45:00,1937.810000,1919.454217,1980.266132,42.456132
2025-04-14 15:00:00,1916.590000,1795.366938,1959.003563,42.413563
2025-03-20 13:00:00,1697.620000,1573.000410,1739.961205,42.341205
2025-04-27 19:45:00,1533.060000,1557.268667,1575.284618,42.224618
2025-11-25 15:45:00,1670.308082,1474.609033,1628.181313,42.126769
2025-07-15 07:45:00,1370.280000,1269.441224,1412.310449,42.030449
2025-04-18 00:45:00,1754.550000,1814.193390,1796.561374,42.011374
2025-03-08 22:00:00,1412.550000,1289.280677,1454.445163,41.895163
2025-04-10 15:00:00,2026.470000,1796.951806,2068.269456,41.799456
2025-08-29 13:15:00,1619.520000,1684.019233,1661.293235,41.773235
2025-04-16 12:30:00,1958.970000,1893.126633,2000.521302,41.551302
2025-04-13 08:30:00,1285.310000,1231.579363,1326.324765,41.014765
2025-01-14 15:45:00,1418.029681,1440.221089,1458.710207,40.680526
2025-04-10 17:15:00,1880.350000,1711.691066,1921.015529,40.665529
2025-04-21 23:45:00,1868.230000,1838.787251,1908.880860,40.650860
2025-06-05 18:45:00,1655.180000,1933.037911,1695.753598,40.573598
2025-05-05 00:00:00,1848.880000,1752.555358,1808.440788,40.439212
2025-04-05 00:00:00,1814.370000,1502.605522,1854.777501,40.407501
2025-04-19 18:15:00,1669.080000,1734.672012,1709.429090,40.349090
2025-04-02 00:15:00,1707.770000,1478.075533,1747.976039,40.206039
2025-05-02 14:45:00,2044.090000,1848.263540,2003.884756,40.205244
2025-03-25 19:00:00,1693.240000,1499.208867,1733.010473,39.770473
2025-06-18 00:30:00,1543.020000,1706.857445,1582.688783,39.668783
2025-04-10 02:15:00,1610.800000,1426.297652,1650.375508,39.575508
2025-03-31 23:45:00,1738.480000,1530.176276,1777.970587,39.490587
